edge,output,2023051810,sam_merge2/1.2.0-0,failure,Job in error state.. tool_id: toolshed.g2.bx.psu.edu/repos/devteam/sam_merge/sam_merge2/1.2.0, exit_code: 1, stderr: Error: Unable to access jarfile /MergeSamFiles.jar
edge,output,2023051810,sam_merge2/1.2.0-1,failure,Job in error state.. tool_id: toolshed.g2.bx.psu.edu/repos/devteam/sam_merge/sam_merge2/1.2.0, exit_code: 1, stderr: Error: Unable to access jarfile /MergeSamFiles.jar
edge,output,2023051810,sam_merge2/1.2.0-1,failure,Job in error state.. tool_id: toolshed.g2.bx.psu.edu/repos/devteam/sam_merge/sam_merge2/1.2.0, exit_code: 1, stderr: Error: Unable to access jarfile /MergeSamFiles.jar
edge,execution,2023051810,sam_to_bam/2.1.1-1,error,parameter 'index': an invalid option ('equCab2chrM') was selected (valid options: equCab2)
edge,output,2023051810,sam_to_bam/2.1.1-2,failure,Output output1:  different than expected, difference (using diff):
edge,output,2023051810,samtools_idxstats/2.0.3-1,failure,Job in error state.. tool_id: toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats/2.0.3, exit_code: None, stderr: .
edge,output,2023051810,samtools_idxstats/2.0.3-1,failure,Job in error state.. tool_id: toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats/2.0.3, exit_code: None, stderr: .
edge,output,2023051810,samtools_slice_bam/2.0.1-0,failure,Job in error state.. tool_id: toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0.1, exit_code: None, stderr: .
edge,output,2023051810,samtools_slice_bam/2.0.1-0,failure,Job in error state.. tool_id: toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0.1, exit_code: None, stderr: .
edge,output,2023051810,samtools_sort/2.0.3-4,failure,Output output1:  different than expected, difference (using diff):
edge,output,2023051810,samtools_sort/2.0.3-5,failure,Output output1:  different than expected, difference (using diff):
edge,output,2023051810,samtools_sort/2.0.3-6,failure,Output output1:  different than expected, difference (using diff):
edge,output,2023051810,samtools_sort/2.0.3-7,failure,Output output1:  different than expected, difference (using diff):
edge,execution,2023020621,alevin/1.5.1+galaxy0-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,alevin/1.5.1+galaxy0-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,salmonquantmerge/1.5.1+galaxy0-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,_dropletBarcodePlot/1.6.1+galaxy2-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,dropletutils_empty_drops/1.0.4+galaxy0-0,error,Input staging problem: Test input file (raw_sce.rds) cannot be found.
edge,execution,2023020621,dropletutils_read_10x/1.0.4+galaxy0-0,error,Input staging problem: Test input file (matrix.mtx) cannot be found.
edge,execution,2023020621,ip_slice_image/0.3-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.6.22.post1+galaxy1-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.6.22.post1+galaxy1-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.6.22.post1+galaxy1-10,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.6.22.post1+galaxy1-11,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.6.22.post1+galaxy1-12,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.6.22.post1+galaxy1-13,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.6.22.post1+galaxy1-14,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.6.22.post1+galaxy1-15,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.6.22.post1+galaxy1-2,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.6.22.post1+galaxy1-3,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.6.22.post1+galaxy1-4,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.6.22.post1+galaxy1-5,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.6.22.post1+galaxy1-6,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.6.22.post1+galaxy1-7,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.6.22.post1+galaxy1-8,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.6.22.post1+galaxy1-9,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy0-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy0-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy0-10,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy0-11,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy0-12,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy0-13,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy0-14,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy0-15,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy0-2,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy0-3,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy0-4,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy0-5,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy0-6,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy0-7,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy0-8,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy0-9,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy1-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy1-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy1-10,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy1-11,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy1-12,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy1-13,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy1-14,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy1-15,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy1-2,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy1-3,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy1-4,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy1-5,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy1-6,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy1-7,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy1-8,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_inspect/0.7.5+galaxy1-9,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_manipulate/0.7.5+galaxy0-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_manipulate/0.7.5+galaxy0-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_manipulate/0.7.5+galaxy0-10,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_manipulate/0.7.5+galaxy0-2,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_manipulate/0.7.5+galaxy0-3,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_manipulate/0.7.5+galaxy0-4,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_manipulate/0.7.5+galaxy0-5,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_manipulate/0.7.5+galaxy0-6,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_manipulate/0.7.5+galaxy0-7,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_manipulate/0.7.5+galaxy0-8,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_manipulate/0.7.5+galaxy0-9,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_manipulate/0.7.5+galaxy1-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_manipulate/0.7.5+galaxy1-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_manipulate/0.7.5+galaxy1-10,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_manipulate/0.7.5+galaxy1-2,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_manipulate/0.7.5+galaxy1-3,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_manipulate/0.7.5+galaxy1-4,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_manipulate/0.7.5+galaxy1-5,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_manipulate/0.7.5+galaxy1-6,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_manipulate/0.7.5+galaxy1-7,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_manipulate/0.7.5+galaxy1-8,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,anndata_manipulate/0.7.5+galaxy1-9,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,chromeister/1.5.a-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,chromeister/1.5.a-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,chromeister/1.5.a-2,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,chromeister/1.5.a-3,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,dropletutils/1.10.0+galaxy1-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,dropletutils/1.10.0+galaxy1-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,dropletutils/1.10.0+galaxy1-2,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,dropletutils/1.10.0+galaxy1-3,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,dropletutils/1.10.0+galaxy1-4,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,dropletutils/1.10.0+galaxy1-5,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,dropletutils/1.10.0+galaxy2-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,dropletutils/1.10.0+galaxy2-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,dropletutils/1.10.0+galaxy2-2,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,dropletutils/1.10.0+galaxy2-3,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,dropletutils/1.10.0+galaxy2-4,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,dropletutils/1.10.0+galaxy2-5,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,modify_loom/0.7.5+galaxy1-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,modify_loom/0.7.5+galaxy1-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,modify_loom/0.7.5+galaxy1-2,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_clustering/0.2.3+galaxy0-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_clustering/0.2.3+galaxy0-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_clustering/0.2.3+galaxy0-2,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_clustering/0.2.3+galaxy2-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_clustering/0.2.3+galaxy2-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_clustering/0.2.3+galaxy2-2,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_filtnormconf/0.2.3+galaxy0-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_filtnormconf/0.2.3+galaxy0-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_filtnormconf/0.2.3+galaxy0-2,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_filtnormconf/0.2.3+galaxy0-3,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_filtnormconf/0.2.3+galaxy0-4,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_filtnormconf/0.2.3+galaxy2-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_filtnormconf/0.2.3+galaxy2-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_filtnormconf/0.2.3+galaxy2-2,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_filtnormconf/0.2.3+galaxy2-3,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_filtnormconf/0.2.3+galaxy2-4,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_inspectclusters/0.2.3+galaxy0-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_inspectclusters/0.2.3+galaxy0-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_inspectclusters/0.2.3+galaxy0-2,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_inspectclusters/0.2.3+galaxy0-3,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_inspectclusters/0.2.3+galaxy0-4,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_inspectclusters/0.2.3+galaxy0-5,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_inspectclusters/0.2.3+galaxy2-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_inspectclusters/0.2.3+galaxy2-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_inspectclusters/0.2.3+galaxy2-2,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_inspectclusters/0.2.3+galaxy2-3,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_inspectclusters/0.2.3+galaxy2-4,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_inspectclusters/0.2.3+galaxy2-5,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_inspecttrajectory/0.2.3+galaxy0-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_inspecttrajectory/0.2.3+galaxy0-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_inspecttrajectory/0.2.3+galaxy0-2,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_inspecttrajectory/0.2.3+galaxy0-3,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_inspecttrajectory/0.2.3+galaxy0-4,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_inspecttrajectory/0.2.3+galaxy2-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_inspecttrajectory/0.2.3+galaxy2-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_inspecttrajectory/0.2.3+galaxy2-2,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_inspecttrajectory/0.2.3+galaxy2-3,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_inspecttrajectory/0.2.3+galaxy2-4,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_trajectory/0.2.3+galaxy0-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_trajectory/0.2.3+galaxy0-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_trajectory/0.2.3+galaxy0-2,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_trajectory/0.2.3+galaxy2-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_trajectory/0.2.3+galaxy2-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,raceid_trajectory/0.2.3+galaxy2-2,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,scater_create_qcmetric_ready_sce/1.12.2-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,scater_create_qcmetric_ready_sce/1.22.0-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,scater_filter/1.12.2-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,scater_filter/1.12.2-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,scater_filter/1.22.0-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,scater_filter/1.22.0-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,execution,2023020621,scater_plot_tsne/1.22.0-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
